uid,question,golden_answer,source_ids,golden_doc_chunks,golden_triples,is_generated_with,topic_entity_id,topic_entity_value,hops,based_on_template,use_case,retrieval_operation,semi-typed,updated template,graph_representation,answer_format,answer_type,condition_type,used_in_reduced,notes
4bbdeb87-29d5-4ea2-9703-9f91b27ee413,How many papers have been published by the author Johannes Grohmann?,Johannes Grohmann has published two papers.,"['10.1109/ICSA.2019.00016', '10.1109/ICSA47634.2020.00011']",,"['(R872195:authors list, has list element, L1527978:Johannes Grohmann)', '(R870060:authors list, has list element, L1523562:Johannes Grohmann)']",clustering_strategy,R659055,Software Architecture and Design,3,How many papers have been published by the author [Metadata: author name]?,1,counting,True,How many papers have been published by the author [Metadata: author name]?,multi fact,simple,quantitative,named entity,True,
981cc6ea-8a59-4bbd-97ee-aed4e114b747,How many papers have the paper class personal experience paper?,There are two publications that have the paper class personal experience paper.,"['10.1109/ICSA.2018.00016', '10.1109/ICSA.2017.42']",,"['(R872668:Paper Class 2, personal experience paper, L1528957:True)', '(R872566:Paper Class 2, personal experience paper, L1528770:True)']",clustering_strategy,R659055,Software Architecture and Design,3,How many publications have the paper class with the name [Metadata: paper class name]?,1,counting,True,How many papers have the paper class [Metadata: paper class name]?,multi fact,simple,quantitative,named entity,False,
992b0b42-af08-47fc-98d7-0e77a41e5b21,Which papers have the paper class personal experience paper? Rank the papers in descending order of their publication year.,"The publications with the paper class personal experience, ranked in descending order by publication year, are: 1. Data-Centric Communication and Containerization for Future Automotive Software Architectures (2018); 2. Towards a Reference Architecture for Cloud-Based Plant Genotyping and Phenotyping Analysis Frameworks (2017).","['10.1109/ICSA.2017.42', '10.1109/ICSA.2017.42', '10.1109/ICSA.2018.00016', '10.1109/ICSA.2018.00016']",,"['(R872566:Paper Class 2, personal experience paper, L1528770:True)', '(R872527:Towards a Reference Architecture for Cloud-Based Plant Genotyping and Phenotyping Analysis Frameworks, publication year, L1528701:2017)', '(R872668:Paper Class 2, personal experience paper, L1528957:True)', '(R872636:Data-Centric Communication and Containerization for Future Automotive Software Architectures, publication year, L1528895:2018)']",clustering_strategy,R659055,Software Architecture and Design,3,Which publications have the paper class [Metadata: paper class name] ranked by their publication year?,1,ranking,True,Which papers have the paper class [Metadata: paper class name]? Rank the papers in descending order of their publication year.,multi fact,enumerative,"named entity, temporal",named entity,True,
3cbd7dfe-eb26-4f55-8954-50f3eff9c7cd,Which papers have been published by the author Sten Grüner ranked in descending order by their publication year?,"The publications by Sten Grüner, ranked in descending order of their publication year, are: 1. A Comparison of MQTT Brokers for Distributed IoT Edge Computing (2020), 2. A Four-Layer Architecture Pattern for Constructing and Managing Digital Twins (2019).","['10.1007/978-3-030-58923-3_23', '10.1007/978-3-030-58923-3_23', '10.1007/978-3-030-29983-5_16', '10.1007/978-3-030-29983-5_16']",,"['(R873729:authors list, has list element, L1531103:Sten Grüner)', '(R873728:A Comparison of MQTT Brokers for Distributed IoT Edge Computing, publication year, L1531105:2020)', '(R870310:authors list, has list element, L1524116:Sten Grüner)', '(R870309:A Four-Layer Architecture Pattern for Constructing and Managing Digital Twins, publication year, L1524119:2019)']",clustering_strategy,R659055,Software Architecture and Design,3,Which publications have been published by the author [Metadata: author name] ranked by their publication year?,1,ranking,True,Which papers have been published by the author [Metadata: author name] ranked in descending order by their publication year?,multi fact,enumerative,"named entity, temporal",named entity,False,
01fe69ac-72b2-4a52-84ea-17d03982a4d6,Which papers did Rogardt Heldal publish? Rank them in descending order by their year of publication.,"The papers that Rogardt Heldal published, ranked in descending order of publication year, are: 1. On Interfaces to Support Agile Architecting in Automotive: An Exploratory Case Study (2019), 2. Improving the Consistency and Usefulness of Architecture Descriptions: Guidelines for Architects (2019), 3. Architectural Assumptions and Their Management in Industry - An Exploratory Study (2017)","['10.1109/ICSA.2019.00025', '10.1109/ICSA.2019.00025', '10.1109/ICSA.2019.00024', '10.1109/ICSA.2019.00024', '10.1007/978-3-319-65831-5_14', '10.1007/978-3-319-65831-5_14']",,"['(R868824:authors list, has list element, L1520928:Rogardt Heldal)', '(R868823:On Interfaces to Support Agile Architecting in Automotive: An Exploratory Case Study, publication year, L1520929:2019)', '(R873600:authors list, has list element, L1530832:Rogardt Heldal)', '(R873599:Improving the Consistency and Usefulness of Architecture Descriptions: Guidelines for Architects, publication year, L1530833:2019)', '(R868652:authors list, has list element, L1520560:Rogardt Heldal)', '(R868651:Architectural Assumptions and Their Management in Industry – An Exploratory Study, publication year, L1520562:2017)']",clustering_strategy,R659055,Software Architecture and Design,3,Which publications have been published by the author [Metadata: author name] ranked by their publication year?,1,ranking,False,Which papers did [Metadata: author name] publish? Rank them in descending order by their year of publication.,multi fact,enumerative,"named entity, temporal",named entity,False,
87b16758-5838-4e37-8b9a-67357acaff0b,Rank the papers that have been published by Federico Giaimo in descending order of their publishing year.,"The papers that Federico Giaimo published, ranked in descending order of their publication year, are: 1. 'Continuous Experimentation for Automotive Software on the Example of a Heavy Commercial Vehicle in Daily Operation' (2020), and 2. 'Design Criteria to Architect Continuous Experimentation for Self-Driving Vehicles' (2017).","['10.1109/ICSA.2017.36', '10.1109/ICSA.2017.36', '10.1007/978-3-030-58923-3_5', '10.1007/978-3-030-58923-3_5']",,"['(R870271:authors list, has list element, L1524033:Federico Giaimo)', '(R870270:Design Criteria to Architect Continuous Experimentation for Self-Driving Vehicles, publication year, L1524035:2017)', '(R873022:authors list, has list element, L1529682:Federico Giaimo)', '(R873021:Continuous Experimentation for Automotive Software on the Example of a Heavy Commercial Vehicle in Daily Operation, publication year, L1529684:2020)']",clustering_strategy,R659055,Software Architecture and Design,3,Which publications have been published by the author [Metadata: author name] ranked by their publication year?,1,ranking,False,Rank the papers that have been published by [Metadata: author name] in descending order of their publishing year.,multi fact,enumerative,"named entity, temporal",named entity,False,
ce7c8800-8719-4a5d-ad70-0750c6497852,In which publication year was the paper with the title 'Continuous Architecture: Towards the Goldilocks Zone and Away from Vicious Circles' published in comparison to the publication year of the paper with the title 'Designing Robust Software Systems through Parametric Markov Chain Synthesis'?,"The publication year of the paper with the title 'Continuous Architecture: Towards the Goldilocks Zone and Away from Vicious Circles' is 2019, which is later than the publication year of the paper with the title 'Designing Robust Software Systems through Parametric Markov Chain Synthesis', which is 2017.","['10.1109/ICSA.2019.00022', '10.1109/ICSA.2017.16']",,"['(R873775:Continuous Architecture: Towards the Goldilocks Zone and Away from Vicious Circles, publication year, L1531203:2019)', '(R868403:Designing Robust Software Systems through Parametric Markov Chain Synthesis, publication year, L1520024:2017)']",publication_subgraph_strategy,R659055,Software Architecture and Design,2,"In which publication year has the paper with the title '[paper title 1]' been published, in comparison to the publication year of the paper with the title '[paper title 2]'?",1,comparative,True,In which publication year was the paper with the title '[Metadata: paper title]' published in comparison to the publication year of the paper with the title '[Metadata: paper title]'?,multi fact,explanatory,"description, named entity, temporal",named entity,True,
19c70b51-0afb-419b-aec8-08f8358f5e89,What is the paper class of the paper with the title 'Continuous Integration Impediments in Large-Scale Industry Projects' in comparison to the paper with the title 'An Architecture Framework for Modelling and Simulation of Situational-Aware Cyber-Physical Systems'?,"The paper class of the paper with the title 'Continuous Integration Impediments in Large-Scale Industry Projects' in comparison to the paper with the title 'An Architecture Framework for Modelling and Simulation of Situational-Aware Cyber-Physical Systems' is that the former is classified as evaluation research, while the latter is classified as validation research.","['10.1109/ICSA.2017.11', '10.1007/978-3-319-65831-5_7']",,"['(R868588:Paper Class 2, evaluation research, L1520426:True)', '(R868908:Paper Class 2, validation research, L1521107:True)']",publication_subgraph_strategy,R659055,Software Architecture and Design,3,What is the paper class of the paper '[paper title 1]' in comparison to the publication '[paper title 2]'?,1,comparative,True,What is the paper class of the paper with the title '[Metadata: paper title]' in comparison to the paper with the title '[Metadata: paper title]'?,multi fact,explanatory,"description, named entity",named entity,False,
e2fb3908-3e84-4eb2-9ee4-2e9863c8aceb,"Which paper class does 'Supporting Architectural Decision Making on Data Management in Microservice Architectures' belong to compared to 'An Architecture for Decentralized, Collaborative, and Autonomous Robots'?","The paper class that 'Supporting Architectural Decision Making on Data Management in Microservice Architectures' belongs to compared to 'An Architecture for Decentralized, Collaborative, and Autonomous Robots' is evaluation research for both papers.","['10.1007/978-3-030-29983-5_2', '10.1109/ICSA.2018.00017']",,"['(R871552:Paper Class 2, evaluation research, L1526664:True)', '(R873000:Paper Class 2, evaluation research, L1529644:True)']",publication_subgraph_strategy,R659055,Software Architecture and Design,3,What is the paper class of the paper '[paper title 1]' in comparison to the publication '[paper title 2]'?,1,comparative,False,Which paper class does '[Metadata: paper title]' belong to compared to '[Metadata: paper title]'?,multi fact,explanatory,"description, named entity",named entity,False,
d224932d-81c2-4c31-a4d5-3a024699200c,What is the number of papers published by Yutong Zhao? Show me their distribution per year.,"Yutong Zhao has published three papers in the years 2020 and 2021. Specifically, in 2020, Yutong Zhao published two papers. In 2021, Yutong Zhao published one paper. Therefore, the distribution of papers published per year is as follows: two papers in 2020 and one paper in 2021.","['10.1109/ICSA47634.2020.00025', '10.1109/ICSA47634.2020.00025', '10.1109/ICSA47634.2020.00027', '10.1109/ICSA47634.2020.00027', '10.1109/ICSA51549.2021.00022', '10.1109/ICSA51549.2021.00022']",,"['(R869436:authors list, has list element, L1522242:Yutong Zhao)', '(R869435:DesignDiff: Continuously Modeling Software Design Difference from Code Revisions, publication year, L1522244:2020)', '(R873172:authors list, has list element, L1529962:Yutong Zhao)', '(R873171:Butterfly Space: An Architectural Approach for Investigating Performance Issues, publication year, L1529968:2020)', '(R871675:authors list, has list element, L1526906:Yutong Zhao)', '(R871674:Constructing a Shared Infrastructure for Software Architecture Analysis and Maintenance, publication year, L1526914:2021)']",clustering_strategy,R659055,Software Architecture and Design,3,What is the proportion of papers that have been published by the author [Metadata: author name] per year?,1,relationship,False,What is the number of papers published by [Metadata: author name]? Show me their distribution per year.,multi fact,explanatory,"description, quantitative, temporal",named entity,False,
